entryId,title,access
663,Paketo BuildpackでPHPアプリのDockerイメージを作成する,4
812,SDKを使わずにSpringのRestTemplate/RestClientを使ってS3 APIにアクセスする,4
822,Kubernetesのログをfluent-bitでrsyslogに転送するメモ,4
825,"JJUG CCC 2024 Fallで""最近のSpring Bootの 便利機能を復習！""について話してきました。",4
829,Kubernetesのノードにkubectlでrootアクセスするメモ,4
76,宣教師と人食い人種問題,3
301,Spring MVC + Spring BootでJackson2のdataformatを変更する方法,3
327,OpenSSLで作成したRSAの鍵を使ってJavaで暗号化・復号するサンプル,3
418,はじめてのSpring WebFlux (その1.5 - Spring Bootを使わずSpring WebFluxをマニュアルでBootstrap),3
503,Spring WebFlux.fnハンズオン - 4. R2DBCによるデータベースアクセス,3
517,Kubernetesクラスタ内からcurlを実行するメモ,3
656,Thymeleafテンプレートを使ってJdbcTemplateで動的なSQLを実行する,3
745,Spring IntegrationでPollingベースのOutboxパターンを実装する,3
751,Terminatingのまま消えないNamespaceを強制的に削除するTip,3
758,JupyterでJava Kernelを使うメモ,3
772,CRaCに対応したSpring BootアプリのDockerイメージを作るメモ,3
787,llama-cpp-pythonを使ってGemmaモデルを使ったOpenAI互換サーバーを起動しSpring AIからアクセスする,3
827,OpenTelemetry Java Agentを使ってTomcat上のLegacyなServletアプリをTracingするメモ,3
108,Spring MVCのフォームでコードリストからselect/optionタグを生成する,2
122,javadocの@文字エスケープ,2
175,Oracleで特定のOSユーザーが実行中のSQLを出力するSQL,2
186,Oracle Coherenceを使うときに特にアーキテクトの人が気をつけるべきこと,2
199,Javaプログラム内でHTTPプロキシの認証を突破するための設定,2
255,HTML5でファイルをドラッグ＆ドロップして画像を表示するサンプル,2
256,HTML5でクリップボードの画像をペーストするサンプル,2
263,スタンドアローンJSF2.2+PrimeFaces入門メモ,2
302,Java8でIteratorからStreamに変換する方法,2
305,Browserify入門,2
369,Spring Cloud Streamでマイクロサービス間メッセージング,2
380,はじめてのConcourse CI,2
400,Nexus RepositoryのDocker Registryを使ってオフラインでConcourse CIを使う,2
488,Spring BootアプリをKubernetesにデプロイする際にアプリ側でTLS Terminationをするメモ,2
499,GKEでNodePort TypeのServiceに対してインターネットアクセス許可する,2
501,Spring WebFlux.fnハンズオン - 2. 簡易家計簿Moneygerプロジェクトの作成,2
530,Let's Encryptの証明書をcert-managerとAzure DNSで発行しSpring Bootアプリに設定するメモ,2
554,Kubernetesハンズオン - 4. アプリケーションのログ,2
560,Kubernetesハンズオン - 10. RBACによるKubernetes APIアクセス制御,2
601,kubectlで全Resource一覧を表示するメモ,2
626,Spring Boot 2.4で導入されたConfig TreeでKubernetesのSecretの値をSpring Bootアプリのプロパティに設定,2
667,kindでLocal RegistryをTLSを有効にして使用するメモ,2
717,Tanzu Application PlatformでClusterBuilderのReadyがFalseから直らないときの対処メモ,2
723,Tanzu Application Platform 1.3のMulti Cluster構成をAKSにインストールするメモ,2
752,Spring Bootを使わずEmbedded TomcatでWebMvc.fnを使う,2
778,Tanzu Application Platform 1.7 (Full Profile) をEKSにインストールするメモ,2
789,Kubernetesのノードのディスク使用量を減らすメモ,2
800,"JJUG CCC 2024 Springで""知名度は高くないけど便利なJavaライブラリ集""について話してきました。",2
807,GraalWasmでJavaからWebAssemblyを呼び出すメモ,2
814,Cassandra互換のScyllaDBにSpring Bootでアクセスするメモ,2
7,update-alternatives,1
9,KVMでゲストOSイメージのコピー,1
67,「プログラマのための論理パズル」(1)甘いもの好き,1
74,MongoDBのクエリメモ,1
111,Twitterのリアルタイムデータ処理技術のStormをとにかく動かしてみる,1
115,Log4JDBCでSQLログを出力する,1
118,Mac OS X 10.6にsqlplusをインストールする,1
125,RedHat系Linuxの固定IP設定,1
138,Javaのソースコードレビュー観点をまとめてみた,1
148,ThymeLeafでjavascriptにcontextPathを設定する,1
173,OracleでSessionをまとめてkillするSQLを吐くSQL,1
192,WindowsでLISTEN中のポートを調べる,1
206,【Spring Advent Calendar 2013 4日目 Spring + JPAをGlassFishで動かす spadc13,1
222,jBatch(JSR-352) on Java SE 環境 (Spring Batch編),1
276,KeyStoreに保存した秘密鍵を使って Spring Boot アプリに渡すパスワードを暗号化する,1
293,「Javaによる関数型プログラミング ―Java 8ラムダ式とStream」レビュー,1
298,pom.xmlだけで作るWebアプリ,1
303,海外のオススメJava系サイト33選,1
315,MessagePack + Spring MVC or JAX-RS(Jersery) on Spring Boot,1
316,Spring Securityの暗号化・復号ユーティリティ,1
324,HTTPクライアント「rest.js」を試す,1
339,SpringのCache Abstractionについて,1
341,JRebel でSpring Bootアプリケーションの快適リローディング (IntelliJ IDEA編),1
352,Javaの全角・半角変換ユーティリティ,1
354,How to use the TCP client provided by Spring Framework (Part 1/2),1
358,JJUG CCC 2015 FallでReactive WebアプリケーションというかSpring Reactiveについて話してきました jjug_ccc ccc_ef3,1
394,Spring Bootを学ぶ時に読むべき本,1
403,Spring Data RESTのTips,1
445,Spring Boot 1/2のアプリにKeycloakのOpenID Connectを使ってシングルサインオン,1
450,OpenSSLで作成したTLS証明書をSpring Bootアプリに設定,1
492,Spring Boot on Cloud FoundryからAmazon RDS / Cloud SQLへの通信を暗号化する,1
505,Spring WebFlux.fnハンズオン - 6. 例外ハンドリングの改善,1
510,Spring WebFlux.fnハンズオン - X. GraalVMのSubstrateVMでNative Imageにコンパイル,1
529,Cloud Foundryの環境変数VCAP_SERVICES内のcredentialsからjqで特定のキーだけ取得するメモ,1
550,Cloud Native BuildpacksでSpring BootアプリのGraalVM Native Imageを作成しKnativeにデプロイする,1
555,Kubernetesハンズオン - 5. ConfigMap/Secretで設定情報の管理,1
557,Kubernetesハンズオン - 7. IngressによるL7ロードバランシング,1
580,Cloud Native Buildpacks Tutorial - 1. packのinstallとbuilderの確認,1
586,Cloud Native Buildpacks Tutorial - 2.2. ┗ gcr.io/paketo-buildpacks/builder:base BuilderでJavaアプリ(Servlet)のOCIイメージを作成,1
659,Bitnami Helm ChartでArgo CDをインストール及びArgo CDでyttを使用するメモ,1
678,自宅で運用しているTanzu Kubernetes Grid及びTanzu Community Editionのk8sクラスタ on vSphereをvSANなしでホスト跨ぎで冗長化する方法,1
692,Pinnipedを使ってKindで簡単に認証を有効にしてRBACの検証を行うメモ,1
694,LegacyなJavaアプリをTanzu Application Platformにデプロイするまでのメモ,1
708,Tanzu Application Platform 1.2 (Full Profile) をAKSにインストールしAzure ADと連携するメモ - Self Signed編,1
710,Tanzu Application Platform 1.2でTanzu Build Serviceのfull dependenciesをインストールする,1
712,Tanzu Application PlatformでPrivate Git Repository上のソースコードをデプロイする,1
713,Cloud Native BuildpacksでRustのWebアプリをビルドするメモ,1
716,Tanzu Application Platform 1.3 (Iterate Profile) をKindにインストールしHTTPSを有効にするメモ,1
720,Tanzu Application PlatformでJavaアプリのイメージをビルドする際にPrivate Maven Repositoryを参照するメモ,1
730,HashiCorp VaultをOpenID Connect Providerとして使用する,1
747,Brainf*ck => WebAssemblyおよびJVMバイトコードなコンパイラをJavaで書いた,1
748,Tanzu Application Platform 1.5 (Full Profile) をKind on OrbStackにインストールするメモ,1
749,Spring 6.1でYAVIがSpring MVCの@Valid/Validatedで使いやすくなった,1
750,Retrospective用ツールのPostfactoをHelmでインストールする,1
753,Tanzu Application PlatformにデプロイするSpring BootアプリをDockerfileでビルドする,1
755,KindでAzure ADのOpenID Connectと連携してRBACを設定するメモ,1
759,OrbStackのnative Kubernetesサポート,1
760,Tanzu Kubernetes Gridのパッケージを任意のKubernetesで試す,1
764,Linux Machine上にVMware Greenplum® 7をOrbStack上のRocky Linuxにインストールするメモ,1
771,java-llama.cppを使ってローカルLLMでテキスト生成する,1
773,Tanzu Application Platformで特定のBuildpackだけ更新するメモ,1
782,自宅サーバーにMicroK8sをインストールメモ,1
783,HonoアプリをTanzu Application Platformにデプロイするメモ,1
793,Reactor NettyでHTTP/3対応サーバーを作る,1
809,VMware Tanzu Application Service for VMsのEmail NotificationsにSendGridを使うメモ,1
815,DynamoDB互換のScyllaDB AlternatorにSpring Bootでアクセスするメモ,1
824,Spring Bootで@Asyncを使う際にMicrometerのTrace Contextを引き継がせるメモ,1
